t_sec,x,y,z,solve_ms,n_zero_weights
19.503,0.0469,-0.0720,-0.1073,1.759,0
19.606,0.0276,-0.1088,-0.0817,3.348,0
19.704,-0.0104,-0.1107,-0.0894,3.077,0
19.805,0.0014,-0.0945,-0.0821,3.311,0
19.904,-0.0090,-0.0870,-0.0889,3.328,0
20.007,-0.0787,-0.1070,-0.1014,5.108,0
20.108,-0.0343,-0.1080,-0.0604,6.874,0
20.209,-0.0103,-0.0990,-0.0567,4.464,0
20.304,-0.0215,-0.0886,-0.0546,2.439,0
20.405,0.0175,-0.0869,-0.0681,3.082,0
20.507,0.0339,-0.0894,-0.0574,5.962,0
20.606,0.0312,-0.0822,-0.0698,3.458,0
20.704,0.0249,-0.0998,-0.0754,3.299,0
20.804,0.0469,-0.0896,-0.0798,2.951,0
20.904,0.0694,-0.0967,-0.0896,3.204,0
21.004,0.0847,-0.0953,-0.0648,3.435,0
21.103,0.0891,-0.0931,-0.0864,2.408,0
21.205,0.1313,-0.0768,-0.0975,3.904,0
21.308,0.0760,-0.0976,-0.0714,4.267,0
21.405,0.0534,-0.1031,-0.0726,3.834,0
21.503,0.0480,-0.1337,-0.0805,2.333,0
21.605,0.0584,-0.1123,-0.0746,2.355,0
21.705,0.0882,-0.1370,-0.0713,3.790,0
21.806,0.0915,-0.1368,-0.0606,4.795,0
21.903,0.0091,-0.1543,-0.0491,2.010,0
22.004,0.0354,-0.1530,-0.0791,2.194,0
22.107,0.0715,-0.1747,-0.0534,5.879,0
22.203,0.0775,-0.1633,-0.0604,2.377,0
22.304,0.0545,-0.1686,-0.0833,3.373,0
22.406,0.0862,-0.1323,-0.0777,2.180,0
22.504,0.0653,-0.1170,-0.0789,2.210,0
22.606,0.0703,-0.1235,-0.0767,2.945,0
22.705,0.0928,-0.1299,-0.0747,3.548,0
22.803,0.0820,-0.1298,-0.0905,2.327,0
22.905,0.0008,-0.1528,-0.1006,4.228,0
23.004,0.0156,-0.1277,-0.0832,3.125,0
23.104,0.0579,-0.1224,-0.0834,3.721,0
23.203,0.0149,-0.1330,-0.0816,2.489,0
23.304,0.0273,-0.1399,-0.0803,2.695,0
23.404,0.0101,-0.1545,-0.0930,2.874,0
23.506,0.0368,-0.1664,-0.0945,3.686,0
23.605,0.0378,-0.1491,-0.1037,2.659,0
23.705,0.0398,-0.1575,-0.1037,2.641,0
23.804,0.0004,-0.1597,-0.0982,3.050,0
23.905,0.0106,-0.1787,-0.1428,4.430,0
24.006,-0.0164,-0.1953,-0.1475,3.447,0
24.107,0.0585,-0.1899,-0.1360,4.759,0
24.206,-0.0049,-0.2264,-0.1395,4.549,0
24.303,0.0004,-0.1942,-0.1522,2.418,0
24.405,0.0111,-0.2142,-0.1526,3.653,0
24.504,0.0061,-0.2339,-0.1484,2.912,0
24.607,0.0022,-0.2009,-0.1511,4.860,0
24.704,-0.0116,-0.1818,-0.1562,3.180,0
24.804,0.0073,-0.1682,-0.1519,3.297,0
24.903,-0.0079,-0.1536,-0.1425,2.387,0
25.005,-0.0007,-0.1435,-0.1337,4.074,0
25.103,0.0636,-0.1196,-0.1417,2.071,0
25.204,0.0756,-0.1256,-0.1245,3.215,0
25.306,0.0481,-0.1467,-0.1112,3.524,0
25.410,0.0247,-0.1708,-0.1387,8.071,0
25.505,0.0417,-0.1546,-0.1254,3.211,0
25.603,0.0084,-0.1733,-0.1306,2.714,0
25.714,0.0039,-0.1566,-0.1086,11.786,0
25.807,-0.0152,-0.1493,-0.1405,3.332,0
25.904,-0.0433,-0.1582,-0.1315,2.773,0
26.006,0.0174,-0.1350,-0.1215,3.680,0
26.103,-0.0105,-0.1404,-0.1464,2.358,0
26.206,0.0580,-0.1087,-0.1739,3.447,0
26.307,-0.0082,-0.1365,-0.1778,3.746,0
26.411,0.0353,-0.1197,-0.1797,6.023,0
26.506,0.0559,-0.1384,-0.1688,3.673,0
26.606,0.0494,-0.1567,-0.1700,3.002,0
26.705,0.0328,-0.1339,-0.1535,3.009,0
26.804,0.0430,-0.1141,-0.1876,2.395,0
26.903,0.0444,-0.1149,-0.1786,2.559,0
27.008,0.0809,-0.1093,-0.1597,6.611,0
27.112,0.0462,-0.1266,-0.1441,8.170,0
27.204,0.0459,-0.1029,-0.1499,3.120,0
27.305,0.1056,-0.0903,-0.1430,3.056,0
27.409,0.0954,-0.1044,-0.1481,7.432,0
27.503,0.0979,-0.1112,-0.1481,1.817,0
27.609,0.1247,-0.1302,-0.1617,3.550,0
27.706,0.1093,-0.1292,-0.1574,4.386,0
