t_sec,x,y,z,solve_ms,n_zero_weights
23.198,2.2035,0.0418,0.0601,5.046,0
23.294,2.2198,0.0756,0.0415,2.401,0
23.395,2.2020,0.0849,0.0524,2.667,0
23.498,2.1807,0.0786,0.0669,4.279,0
23.595,2.1562,0.0342,0.0642,3.255,0
23.697,2.1706,0.0633,0.0732,4.344,0
23.799,2.1866,0.0173,0.0541,4.325,0
23.897,2.1841,0.0304,0.0586,4.132,0
23.998,2.1747,0.0250,0.0458,4.662,0
24.096,2.1882,0.0259,0.0700,4.859,0
24.196,2.1834,0.0044,0.0516,2.850,0
24.297,2.1716,0.0005,0.0525,4.797,0
24.395,2.2418,0.0016,0.0393,2.567,0
24.496,2.2305,0.0234,0.0450,3.520,0
24.600,2.2633,0.0040,0.0523,7.636,0
24.694,2.2866,0.0097,0.0370,2.679,0
24.796,2.2692,0.0064,0.0495,3.778,0
24.895,2.2711,-0.0057,0.0456,3.316,0
24.997,2.3055,-0.0009,0.0458,4.086,0
25.095,2.2626,-0.0016,0.0657,3.421,0
25.196,2.2526,0.0011,0.0532,3.666,0
25.294,2.2071,-0.0235,0.0624,2.422,0
25.400,2.2452,-0.0113,0.0683,4.023,0
25.495,2.2620,-0.0187,0.0598,2.655,0
25.594,2.2345,-0.0246,0.0630,2.011,0
25.696,2.3137,-0.0166,0.0407,2.545,0
25.796,2.2522,-0.0107,0.0692,3.683,0
25.894,2.2409,-0.0335,0.0440,2.079,0
25.998,2.2506,-0.0059,0.0421,3.757,0
26.102,2.2753,-0.0410,0.0447,8.203,0
26.196,2.2650,-0.0371,0.0535,3.450,0
26.299,2.2609,-0.0185,0.0466,2.460,0
26.395,2.3069,-0.0519,0.0595,2.285,0
26.498,2.3012,-0.0360,0.0635,2.829,0
26.595,2.2520,-0.0272,0.0557,3.113,0
26.696,2.2716,-0.0455,0.0636,3.573,0
26.802,2.3022,-0.0311,0.0814,6.013,0
26.895,2.3014,-0.0264,0.0641,2.799,0
26.995,2.3021,-0.0573,0.0478,2.207,0
27.097,2.2932,-0.0614,0.0641,4.641,0
27.196,2.3045,-0.0726,0.0564,3.875,0
27.295,2.2733,-0.0729,0.0774,2.980,0
27.396,2.2970,-0.1265,0.0740,4.332,0
27.495,2.2539,-0.1072,0.0831,2.407,0
27.598,2.2729,-0.1129,0.0862,4.551,0
27.697,2.2733,-0.1510,0.0904,5.108,0
27.795,2.2404,-0.1367,0.1010,3.157,0
27.895,2.2239,-0.1301,0.0915,3.070,0
27.996,2.2290,-0.1734,0.1180,2.549,0
28.095,2.2339,-0.1695,0.0929,3.238,0
28.195,2.2346,-0.1448,0.0906,3.010,0
28.296,2.2449,-0.1406,0.1092,3.609,0
28.397,2.2312,-0.1418,0.1261,4.194,0
28.499,2.2321,-0.1648,0.1016,5.730,0
28.596,2.2652,-0.1497,0.1211,3.786,0
28.699,2.2737,-0.1290,0.1137,6.292,0
28.795,2.2336,-0.1579,0.1096,2.797,0
28.895,2.2525,-0.1387,0.1167,2.789,0
28.998,2.2970,-0.1463,0.0950,2.962,0
29.097,2.2186,-0.1663,0.1013,4.686,0
29.194,2.2593,-0.1471,0.1025,2.620,0
29.300,2.2250,-0.1611,0.1079,4.203,0
29.398,2.2199,-0.1644,0.0876,5.422,0
29.497,2.2196,-0.1796,0.0920,4.171,0
29.600,2.1894,-0.1457,0.0963,4.918,0
29.698,2.1809,-0.1673,0.0830,3.413,0
29.798,2.1840,-0.1951,0.0655,2.811,0
