t_s,num_ghosts,phase,px4_1_est_x,px4_1_est_y,px4_1_est_z,px4_1_gt_x,px4_1_gt_y,px4_1_gt_z,px4_1_error_m,px4_3_est_x,px4_3_est_y,px4_3_est_z,px4_3_gt_x,px4_3_gt_y,px4_3_gt_z,px4_3_error_m,px4_4_est_x,px4_4_est_y,px4_4_est_z,px4_4_gt_x,px4_4_gt_y,px4_4_gt_z,px4_4_error_m
6.164,3,attack,-0.0000,-0.1616,-0.3927,-0.0000,0.0000,-0.0130,0.4127,-0.0000,1.8822,-0.3959,-0.0000,2.0000,-0.0130,0.4007,-0.0000,2.8477,-0.3905,-0.0000,3.0000,-0.0130,0.4071
6.263,3,attack,-0.0000,-0.1569,-0.3740,-0.0000,0.0000,-0.0130,0.3937,-0.0000,1.8578,-0.3774,-0.0000,2.0000,-0.0130,0.3912,-0.0000,2.7961,-0.3824,-0.0000,3.0000,-0.0130,0.4219
6.364,3,attack,-0.0000,-0.1939,-0.3670,-0.0000,0.0000,-0.0130,0.4037,-0.0000,1.8224,-0.3726,-0.0000,2.0000,-0.0130,0.4010,-0.0000,2.8130,-0.3763,-0.0000,3.0000,-0.0130,0.4086
6.462,3,attack,-0.0000,-0.1799,-0.3900,-0.0000,0.0000,-0.0130,0.4178,-0.0000,1.8375,-0.3809,-0.0000,2.0000,-0.0130,0.4022,-0.0000,2.7909,-0.3917,-0.0000,3.0000,-0.0130,0.4326
6.573,3,attack,-0.0000,-0.1635,-0.4046,-0.0000,0.0000,-0.0130,0.4244,-0.0000,1.8271,-0.3946,-0.0000,2.0000,-0.0130,0.4189,-0.0000,2.8596,-0.3890,-0.0000,3.0000,-0.0130,0.4014
6.664,3,attack,-0.0000,-0.1603,-0.3913,-0.0000,0.0000,-0.0130,0.4108,-0.0000,1.8355,-0.3853,-0.0000,2.0000,-0.0130,0.4070,-0.0000,2.8378,-0.3906,-0.0000,3.0000,-0.0130,0.4109
6.764,3,attack,-0.0000,-0.1518,-0.3918,-0.0000,0.0000,-0.0130,0.4081,-0.0000,1.8318,-0.3839,-0.0000,2.0000,-0.0130,0.4073,-0.0000,2.8403,-0.3879,-0.0000,3.0000,-0.0130,0.4075
6.867,3,attack,-0.0000,-0.1890,-0.3962,-0.0000,0.0000,-0.0130,0.4273,-0.0000,1.7839,-0.4096,-0.0000,2.0000,-0.0130,0.4516,-0.0000,2.8534,-0.3940,-0.0000,3.0000,-0.0130,0.4082
6.962,3,attack,-0.0000,-0.1324,-0.4089,-0.0000,0.0000,-0.0130,0.4175,-0.0000,1.8585,-0.4180,-0.0000,2.0000,-0.0130,0.4290,-0.0000,2.8648,-0.4047,-0.0000,3.0000,-0.0130,0.4144
7.065,3,attack,-0.0000,-0.1110,-0.4084,-0.0000,0.0000,-0.0130,0.4107,-0.0000,1.8253,-0.4101,-0.0000,2.0000,-0.0130,0.4339,-0.0000,2.8240,-0.4123,-0.0000,3.0000,-0.0130,0.4364
