timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,is_logging,num_messages
1099592000,8353.569,8.55888,0,0,2468,1024000,0,3,1,194
1100592000,8362.055,8.5588045,0,0,2448,1024000,0,3,1,194
1101592000,8370.361,8.558546,0,0,2568,1024000,0,3,1,194
1102592000,8378.827,8.558453,0,0,2568,1024000,0,3,1,194
1103592000,8387.251,8.558314,0,0,2568,1024000,0,3,1,194
1104592000,8395.717,8.55822,0,0,2468,1024000,0,3,1,194
1105592000,8404.13,8.558072,0,0,2479,1024000,0,3,1,194
1106592000,8412.571,8.557954,0,0,2504,1024000,0,3,1,194
1107592000,8420.897,8.557717,0,0,2604,1024000,0,3,1,194
1108592000,8429.363,8.557625,0,0,2604,1024000,0,3,1,194
1109592000,8437.787,8.557489,0,0,2604,1024000,0,3,1,194
1110592000,8447.127,8.558282,0,0,1709,1024000,0,3,1,194
1111592000,8456.277,8.558881,0,0,865,1024000,0,3,1,194
1112592000,8463.997,8.558033,0,0,1618,1024000,0,3,1,194
1113592000,8472.421,8.557897,0,0,1593,1024000,0,3,1,194
1114592000,8480.887,8.557805,0,0,1593,1024000,0,3,1,194
1115592000,8489.213,8.55757,0,0,1693,1024000,0,3,1,194
1116592000,8497.679,8.557479,0,0,1693,1024000,0,3,1,194
1117592000,8506.103,8.5573435,0,0,1593,1024000,0,3,1,194
1118592000,8514.568,8.557252,0,0,1593,1024000,0,3,1,194
1119592000,8522.992,8.557117,0,0,1593,1024000,0,3,1,194
1120592000,8531.447,8.557016,0,0,1604,1024000,0,3,1,194
1121592000,8539.871,8.556882,0,0,1604,1024000,0,3,1,194
1122592000,8548.239,8.556694,0,0,1704,1024000,0,3,1,194
1123592000,8556.663,8.5565605,0,0,1704,1024000,0,3,1,194
1124592000,8565.129,8.55647,0,0,1604,1024000,0,3,1,194
1125592000,8573.553,8.556337,0,0,1593,1024000,0,3,1,194
1126592000,8582.019,8.556248,0,0,1593,1024000,0,3,1,194
1127592000,8590.442,8.556115,0,0,1593,1024000,0,3,1,194
1128592000,8598.811,8.555928,0,0,1693,1024000,0,3,1,194
1129592000,8607.234,8.555797,0,0,1693,1024000,0,3,1,194
1130592000,8615.438,8.555448,0,0,1961,1024000,0,3,1,194
1131592000,8624.124,8.555576,0,0,1593,1024000,0,3,1,194
1132592000,8632.59,8.555489,0,0,1593,1024000,0,3,1,194
1133592000,8641.014,8.555357,0,0,1593,1024000,0,3,1,194
1134592000,8649.469,8.555259,0,0,1604,1024000,0,3,1,194
1135592000,8657.893,8.555128,0,0,1604,1024000,0,3,1,194
1136592000,8666.236,8.554919,0,0,1709,1024000,0,3,1,194
1137592000,8674.66,8.5547905,0,0,1709,1024000,0,3,1,194
1138592000,8683.126,8.554703,0,0,1598,1024000,0,3,1,194
1139592000,8691.55,8.554574,0,0,1573,1024000,0,3,1,194
1140592000,8700.584,8.555046,0,0,991,1024000,0,3,1,194
1141592000,8709.096,8.555002,0,0,901,1024000,0,3,1,194
1142592000,8717.562,8.554916,0,0,901,1024000,0,3,1,194
1143592000,8725.985,8.554787,0,0,901,1024000,0,3,1,194
1144592000,8734.354,8.554605,0,0,901,1024000,0,3,1,194
1145592000,8742.777,8.554476,0,0,901,1024000,0,3,1,194
1146592000,8751.243,8.55439,0,0,901,1024000,0,3,1,194
1147592000,8759.667,8.554261,0,0,901,1024000,0,3,1,194
1148592000,8768.179,8.554221,0,0,854,1024000,0,3,1,194
1149592000,8776.603,8.554093,0,0,854,1024000,0,3,1,194
1150592000,8785.068,8.554008,0,0,854,1024000,0,3,1,194
1151592000,8793.384,8.553775,0,0,854,1024000,0,3,1,194
1152592000,8801.85,8.55369,0,0,854,1024000,0,3,1,194
1153592000,8806.747,8.55014,0,0,4465,1024000,0,3,1,194
1154592000,8815.213,8.550058,0,0,4465,1024000,0,3,1,194
1155592000,8823.637,8.549936,0,0,4040,1024000,0,3,1,194
1156592000,8832.103,8.549855,0,0,4040,1024000,0,3,1,194
1157592000,8840.526,8.549733,0,0,4040,1024000,0,3,1,194
1158592000,8848.992,8.549652,0,0,3940,1024000,0,3,1,194
1159592000,8857.318,8.549436,0,0,4040,1024000,0,3,1,194
1160592000,8865.784,8.5493555,0,0,4040,1024000,0,3,1,194
