timestamp,load,ram_usage
1319872000,0.08,0.23856702
1320372000,0.1,0.23862866
1320872000,0.1,0.23867561
1321372000,0.1,0.23873724
1321872000,0.1,0.23879986
1322372000,0.12,0.23884633
1322872000,0.1,0.23890771
1323372000,0.1,0.2389087
1323872000,0.1,0.23897132
1324372000,0.1,0.23901755
1324872000,0.1,0.23908016
1325372000,0.1,0.23912264
1325872000,0.1,0.23916961
1326372000,0.08,0.2392618
1326872000,0.1,0.23930678
1327372000,0.1,0.23949365
1327872000,0.1,0.2395406
1328372000,0.08,0.23912886
1328872000,0.1,0.23917557
1329372000,0.12,0.23922205
1329872000,0.1,0.23916912
1330372000,0.1,0.23921609
1330872000,0.1,0.23927845
1331372000,0.1,0.23932442
1331872000,0.12,0.2393791
1332372000,0.12,0.23942532
1332872000,0.08,0.23947203
1333372000,0.1,0.2395344
1333872000,0.12,0.23958062
1334372000,0.12,0.23961169
1334872000,0.1,0.2396579
1335372000,0.1,0.23972027
1335872000,0.1,0.23975132
1336372000,0.1,0.23979655
1336872000,0.1,0.23984303
1337372000,0.12,0.23990564
1337872000,0.1,0.23995782
1338372000,0.1,0.24000354
1338872000,0.1,0.24005051
1339372000,0.1,0.2401417
1339872000,0.08,0.24018818
1340372000,0.1,0.24026646
1340872000,0.1,0.24034025
1341372000,0.1,0.24040262
1341872000,0.12,0.24052438
1342372000,0.1,0.2405706
1342872000,0.1,0.24061707
1343372000,0.1,0.24066329
1343872000,0.08,0.24070975
1344372000,0.1,0.24075672
1344872000,0.1,0.24077113
1345372000,0.1,0.24077238
1345872000,0.1,0.2408191
1346372000,0.1,0.24084966
1346872000,0.1,0.24090979
1347372000,0.1,0.24096967
1347872000,0.12,0.2411732
1348372000,0.1,0.2411886
1348872000,0.1,0.24124849
1349372000,0.14,0.24118264
1349872000,0.14,0.24124451
1350372000,0.14,0.24128352
1350872000,0.1,0.24143907
1351372000,0.1,0.2414853
1351872000,0.14,0.24153152
1352372000,0.08,0.24157824
1352872000,0.12,0.24162444
1353372000,0.08,0.24167141
1353872000,0.1,0.24176086
1354372000,0.1,0.24171638
1354872000,0.1,0.24177827
1355372000,0.1,0.24173081
1355872000,0.1,0.24177727
1356372000,0.08,0.24184437
1356872000,0.12,0.24190499
1357372000,0.1,0.24193408
1357872000,0.1,0.2419952
1358372000,0.1,0.24218802
1358872000,0.06,0.24224095
1359372000,0.1,0.24239601
1359872000,0.08,0.24232295
1360372000,0.1,0.24233836
1360872000,0.1,0.2423811
1361372000,0.1,0.24242657
1361872000,0.08,0.24247354
1362372000,0.1,0.24255157
1362872000,0.12,0.24258164
1363372000,0.08,0.2426281
1363872000,0.1,0.24267507
1364372000,0.12,0.24273768
1364872000,0.1,0.24284528
1365372000,0.1,0.24289225
1365872000,0.1,0.24295312
1366372000,0.1,0.2430468
1366872000,0.08,0.24313875
1367372000,0.1,0.24317005
1367872000,0.1,0.24323268
1368372000,0.1,0.24337034
1368872000,0.1,0.24341731
1369372000,0.08,0.24347968
1369872000,0.1,0.24351
1370372000,0.1,0.24344738
1370872000,0.1,0.24350825
1371372000,0.1,0.24356939
1371872000,0.08,0.24361734
1372372000,0.1,0.2436638
1372872000,0.1,0.24371077
1373372000,0.1,0.24377115
1373872000,0.08,0.24381812
1374372000,0.1,0.24387677
1374872000,0.1,0.24389167
1375372000,0.08,0.24393815
1375872000,0.08,0.2439851
1376372000,0.1,0.24403158
1376872000,0.1,0.2440783
1377372000,0.08,0.24412252
1377872000,0.1,0.24416949
1378372000,0.08,0.2442264
1378872000,0.1,0.24439138
1379372000,0.08,0.24443835
1379872000,0.1,0.24448532
1380372000,0.08,0.24453203
1380872000,0.1,0.24456334
1381372000,0.1,0.24459465
1381872000,0.08,0.24464162
1382372000,0.08,0.24468833
1382872000,0.1,0.24475096
1383372000,0.1,0.24478227
1383872000,0.08,0.24482873
1384372000,0.09803922,0.24482848
1384872000,0.08,0.24490277
1385372000,0.1,0.24494974
1385872000,0.1,0.24499671
1386372000,0.08,0.2450576
1386872000,0.1,0.24510431
1387372000,0.08,0.24516444
1387872000,0.1,0.24521066
1388372000,0.08,0.24524197
1388872000,0.1,0.24517463
1389372000,0.08,0.24529962
1389872000,0.1,0.2453441
1390372000,0.08,0.24534534
1390872000,0.1,0.24539205
1391372000,0.08,0.24543406
1391872000,0.08,0.24548027
1392372000,0.1,0.2455409
1392872000,0.08,0.24558687
1393372000,0.1,0.24564801
1393872000,0.08,0.24569348
1394372000,0.08,0.24572454
1394872000,0.1,0.24578518
1395372000,0.1,0.24583189
1395872000,0.08,0.24589327
1396372000,0.08,0.24593973
1396872000,0.1,0.24601527
1397372000,0.08,0.24606149
1397872000,0.08,0.24612312
1398372000,0.1,0.24615368
1398872000,0.1,0.2461686
1399372000,0.1,0.24635248
1399872000,0.1,0.24641211
1400372000,0.08,0.24647449
1400872000,0.1,0.2465202
1401372000,0.1,0.24658258
1401872000,0.08,0.24661762
1402372000,0.08,0.24667923
1402872000,0.1,0.24672545
1403372000,0.08,0.24678732
1403872000,0.1,0.24679951
1404372000,0.08,0.24686164
1404872000,0.1,0.24689169
1405372000,0.08,0.24695407
1405872000,0.1,0.24700029
1406372000,0.08,0.24704675
1406872000,0.1,0.24709323
1407372000,0.08,0.24713969
1407872000,0.1,0.24718294
1408372000,0.08,0.2472453
1408872000,0.1,0.24728929
1409372000,0.08,0.24720629
1409872000,0.1,0.24726643
1410372000,0.1,0.24731314
1410872000,0.1,0.2473437
1411372000,0.1,0.24737476
1411872000,0.1,0.24743515
1412372000,0.1,0.24748161
1412872000,0.08,0.24754299
1413372000,0.1,0.2475425
1413872000,0.1,0.24761903
1414372000,0.1,0.24765034
1414872000,0.1,0.24769557
1415372000,0.1,0.24775794
1415872000,0.1,0.24778874
1416372000,0.08,0.24783571
1416872000,0.1,0.24788217
1417372000,0.08,0.2479289
1417872000,0.1,0.24797586
1418372000,0.1,0.24802233
1418872000,0.08,0.24808297
1419372000,0.08,0.24812968
1419872000,0.1,0.24814881
1420372000,0.1,0.24817987
1420872000,0.1,0.24827877
1421372000,0.08,0.24830933
1421872000,0.1,0.24834065
1422372000,0.08,0.24835381
1422872000,0.1,0.24841544
1423372000,0.1,0.24847582
1423872000,0.08,0.24850713
1424372000,0.1,0.2485372
1424872000,0.08,0.24861349
1425372000,0.1,0.24881402
1425872000,0.08,0.24886073
1426372000,0.1,0.24893528
1426872000,0.1,0.24899592
1427372000,0.08,0.24904163
1427872000,0.1,0.24899442
1428372000,0.08,0.24902499
1428872000,0.1,0.2490876
1429372000,0.1,0.24913408
1429872000,0.12,0.24918999
1430372000,0.08,0.24923645
1430872000,0.1,0.24932839
1431372000,0.08,0.24934354
1431872000,0.1,0.24935871
1432372000,0.08,0.24941935
1432872000,0.1,0.24946457
1433372000,0.1,0.24951153
1433872000,0.08,0.2495821
1434372000,0.1,0.24964422
1434872000,0.1,0.24968995
1435372000,0.1,0.249721
1435872000,0.1,0.2497717
1436372000,0.1,0.24982661
1436872000,0.1,0.24988103
1437372000,0.1,0.2499434
1437872000,0.1,0.2500346
1438372000,0.1,0.25005
1438872000,0.1,0.25009748
1439372000,0.1,0.2501755
1439872000,0.1,0.25022247
1440372000,0.12,0.2503944
1440872000,0.1,0.2504409
1441372000,0.1,0.250503
1441872000,0.1,0.25056264
1442372000,0.12,0.25048015
1442872000,0.1,0.25054225
1443372000,0.1,0.25058922
1443872000,0.1,0.25063595
1444372000,0.12,0.2506824
1444872000,0.1,0.25074503
1445372000,0.1,0.2507915
1445872000,0.1,0.25086805
1446372000,0.1,0.2508837
1446872000,0.1,0.25093016
1447372000,0.1,0.25096148
1447872000,0.1,0.25109938
1448372000,0.1,0.25114635
1448872000,0.1,0.25119132
1449372000,0.12,0.25123903
1449872000,0.1,0.25129843
1450372000,0.1,0.25146964
1450872000,0.1,0.25153175
1451372000,0.1,0.25151536
1451872000,0.1,0.25155362
1452372000,0.1,0.25160033
1452872000,0.1,0.25164706
1453372000,0.12,0.25172284
1453872000,0.1,0.25178522
1454372000,0.1,0.2518461
1454872000,0.1,0.25190797
1455372000,0.12,0.2518394
1455872000,0.1,0.2518707
1456372000,0.1,0.2519164
1456872000,0.1,0.25199443
1457372000,0.1,0.25205657
1457872000,0.12,0.25210354
1458372000,0.1,0.25216565
1458872000,0.1,0.25222802
1459372000,0.1,0.2522755
1459872000,0.12,0.25233635
1460372000,0.1,0.252397
1460872000,0.12,0.25243923
1461372000,0.1,0.25248522
1461872000,0.1,0.2526338
1462372000,0.1,0.25268078
1462872000,0.1,0.25272748
1463372000,0.1,0.25277397
1463872000,0.1,0.25283584
1464372000,0.1,0.25288206
1464872000,0.12,0.25292802
1465372000,0.1,0.25297475
1465872000,0.1,0.25303662
1466372000,0.1,0.25308284
1466872000,0.1,0.25312907
1467372000,0.1,0.25315937
1467872000,0.1,0.25322
1468372000,0.12,0.25325006
1468872000,0.1,0.25334176
1469372000,0.1,0.25343496
1469872000,0.12,0.25348166
1470372000,0.1,0.25354305
1470872000,0.1,0.25360045
1471372000,0.1,0.2536613
1471872000,0.12,0.25376892
1472372000,0.1,0.25383028
1472872000,0.1,0.253877
1473372000,0.1,0.2539548
1473872000,0.1,0.25401318
1474372000,0.1,0.2540711
1474872000,0.1,0.2541173
1475372000,0.12,0.25413147
1475872000,0.1,0.25417644
1476372000,0.1,0.25422215
1476872000,0.12,0.25428453
1477372000,0.1,0.2543464
1477872000,0.1,0.25440854
1478372000,0.1,0.25445524
1478872000,0.1,0.25456035
1479372000,0.1,0.25462222
1479872000,0.1,0.25466895
1480372000,0.1,0.25471565
1480872000,0.08,0.25476187
1481372000,0.1,0.2549336
1481872000,0.1,0.25499374
1482372000,0.1,0.25479543
1482872000,0.1,0.25487196
1483372000,0.08,0.25495
1483872000,0.08,0.25502726
1484372000,0.1,0.25507423
1484872000,0.1,0.25513685
1485372000,0.1,0.25519946
1485872000,0.08,0.25526208
1486372000,0.1,0.25530732
1486872000,0.1,0.2553543
1487372000,0.1,0.25540125
1487872000,0.1,0.25546363
1488372000,0.08,0.25552598
1488872000,0.1,0.25557294
1489372000,0.1,0.2556199
1489872000,0.08,0.25568253
1490372000,0.1,0.2557131
1490872000,0.08,0.25577572
1491372000,0.1,0.25593153
1491872000,0.08,0.25589076
1492372000,0.1,0.2559529
1492872000,0.08,0.25601378
1493372000,0.1,0.25606075
1493872000,0.08,0.25609204
1494372000,0.1,0.25613877
1494872000,0.1,0.2561835
1495372000,0.08,0.25624585
1495872000,0.1,0.25629258
1496372000,0.08,0.25629482
1496872000,0.1,0.25635743
1497372000,0.08,0.2564178
1497872000,0.1,0.25646427
1498372000,0.1,0.25650778
1498872000,0.1,0.2565704
1499372000,0.08,0.2566156
1499872000,0.1,0.25665936
1500372000,0.1,0.25672174
1500872000,0.08,0.25681368
1501372000,0.1,0.25682932
1501872000,0.1,0.25687355
1502372000,0.1,0.25692028
1502872000,0.1,0.25704527
1503372000,0.1,0.2570922
1503872000,0.1,0.25715435
1504372000,0.08,0.25721696
1504872000,0.1,0.25724778
1505372000,0.1,0.25729474
1505872000,0.1,0.2573698
1506372000,0.1,0.25735512
1506872000,0.1,0.2574016
1507372000,0.1,0.2574796
1507872000,0.1,0.2575395
1508372000,0.1,0.25758648
1508872000,0.1,0.25763294
1509372000,0.1,0.2577035
1509872000,0.1,0.25778154
1510372000,0.08,0.25782526
1510872000,0.1,0.25790256
1511372000,0.1,0.25796467
1511872000,0.1,0.25815055
1512372000,0.1,0.25821292
1512872000,0.1,0.2581458
1513372000,0.1,0.25818607
1513872000,0.1,0.2582328
1514372000,0.1,0.25827852
1514872000,0.1,0.25833318
1515372000,0.1,0.25839505
1515872000,0.1,0.25844178
1516372000,0.1,0.25850415
1516872000,0.1,0.25855038
1517372000,0.1,0.25859657
1517872000,0.1,0.2586433
1518372000,0.08,0.25872058
1518872000,0.1,0.25876755
1519372000,0.08,0.2588289
1519872000,0.1,0.25886
1520372000,0.1,0.2589221
1520872000,0.1,0.2590779
1521372000,0.1,0.2591383
1521872000,0.1,0.2591967
1522372000,0.1,0.25936118
1522872000,0.1,0.2594238
1523372000,0.1,0.25946853
1523872000,0.1,0.25952917
1524372000,0.1,0.259597
1524872000,0.1,0.25959453
1525372000,0.1,0.25964072
1525872000,0.1,0.25970262
1526372000,0.1,0.25976375
1526872000,0.08,0.25984004
1527372000,0.1,0.25988474
1527872000,0.08,0.25985742
1528372000,0.1,0.2599188
1528872000,0.1,0.25997943
1529372000,0.08,0.26007086
1529872000,0.1,0.2601407
1530372000,0.1,0.26020035
1530872000,0.1,0.26023066
1531372000,0.1,0.2602463
1531872000,0.1,0.2603226
1532372000,0.1,0.26037106
1532872000,0.1,0.2603862
1533372000,0.1,0.26041478
1533872000,0.1,0.26044285
1534372000,0.1,0.26048288
1534872000,0.1,0.2604983
1535372000,0.1,0.2605738
1535872000,0.1,0.26062077
1536372000,0.12,0.26068217
1536872000,0.1,0.26074278
1537372000,0.1,0.26078776
1537872000,0.1,0.2608345
1538372000,0.12,0.26091176
1538872000,0.1,0.2609585
1539372000,0.1,0.2610047
1539872000,0.1,0.26106483
1540372000,0.1,0.2610959
1540872000,0.08,0.26115653
1541372000,0.1,0.26118734
1541872000,0.1,0.2612629
1542372000,0.1,0.26131704
1542872000,0.1,0.26149598
1543372000,0.1,0.26151162
1543872000,0.08,0.26156953
1544372000,0.1,0.2616145
1544872000,0.08,0.26165947
1545372000,0.1,0.26172185
1545872000,0.1,0.26176882
1546372000,0.08,0.26181552
1546872000,0.1,0.261863
1547372000,0.1,0.26192537
1547872000,0.1,0.26198772
1548372000,0.1,0.26203445
