timestamp,mode_req_angular_velocity,mode_req_attitude,mode_req_local_alt,mode_req_local_position,mode_req_local_position_relaxed,mode_req_global_position,mode_req_global_position_relaxed,mode_req_mission,mode_req_offboard_signal,mode_req_home_position,mode_req_wind_and_flight_time_compliance,mode_req_prevent_arming,mode_req_manual_control,mode_req_other,angular_velocity_invalid,attitude_invalid,local_altitude_invalid,local_position_invalid,local_position_invalid_relaxed,local_velocity_invalid,global_position_invalid,global_position_invalid_relaxed,auto_mission_missing,offboard_control_signal_lost,home_position_invalid,manual_control_signal_lost,gcs_connection_lost,battery_warning,battery_low_remaining_time,battery_unhealthy,fd_critical_failure,fd_esc_arming_failure,fd_imbalanced_prop,fd_motor_failure,fd_alt_loss,geofence_breached,mission_failure,vtol_fixed_wing_system_failure,wind_limit_exceeded,flight_time_limit_exceeded,position_accuracy_low,navigator_failure,parachute_unhealthy,remote_id_unhealthy,gnss_lost
1031740000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1032280000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1032820000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1033360000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1033900000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1034440000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1034980000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1035520000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1036060000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1036600000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1037140000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1037680000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1038220000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1038760000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1039300000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1039840000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1040380000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1040920000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1041460000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1042000000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1042540000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1043080000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1043620000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1044160000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1044700000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1045240000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1045780000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1046320000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1046860000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1047400000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1047940000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1048480000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1049020000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1049560000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1050100000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1050640000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1051180000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1051720000,8312190,8311166,8257918,7995448,262212,56,0,8,16384,32,2621464,3944480,34119,2139095040,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
