timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
724816000,0,0,0,0,0,0
725320000,0,0,0,0,0,0
725824000,0,0,0,0,0,0
726328000,0,0,0,0,0,0
726832000,0,0,0,0,0,0
727336000,0,0,0,0,0,0
727840000,0,0,0,0,0,0
728344000,0,0,0,0,0,0
728848000,0,0,0,0,0,0
729352000,0,0,0,0,0,0
729856000,0,0,0,0,0,0
730360000,0,0,0,0,0,0
730864000,0,0,0,0,0,0
731368000,0,0,0,0,0,0
731872000,0,0,0,0,0,0
732376000,0,0,0,0,0,0
732880000,0,0,0,0,0,0
733384000,0,0,0,0,0,0
733888000,0,0,0,0,0,0
734392000,0,0,0,0,0,0
734896000,0,0,0,0,0,0
735400000,0,0,0,0,0,0
735904000,0,0,0,0,0,0
736408000,0,0,0,0,0,0
736912000,0,0,0,0,0,0
737416000,0,0,0,0,0,0
737920000,0,0,0,0,0,0
738424000,0,0,0,0,0,0
738928000,0,0,0,0,0,0
739432000,0,0,0,0,0,0
739936000,0,0,0,0,0,0
740440000,0,0,0,0,0,0
740944000,0,0,0,0,0,0
741448000,0,0,0,0,0,0
741952000,0,0,0,0,0,0
742456000,0,0,0,0,0,0
742960000,0,0,0,0,0,0
743464000,0,0,0,0,0,0
743968000,0,0,0,0,0,0
744472000,0,0,0,0,0,0
744976000,0,0,0,0,0,0
745480000,0,0,0,0,0,0
745984000,0,0,0,0,0,0
746488000,0,0,0,0,0,0
746992000,0,0,0,0,0,0
747496000,0,0,0,0,0,0
748000000,0,0,0,0,0,0
748504000,0,0,0,0,0,0
749008000,0,0,0,0,0,0
749512000,0,0,0,0,0,0
750016000,0,0,0,0,0,0
750520000,0,0,0,0,0,0
751024000,0,0,0,0,0,0
751528000,0,0,0,0,0,0
752032000,0,0,0,0,0,0
752536000,0,0,0,0,0,0
753040000,0,0,0,0,0,0
753544000,0,0,0,0,0,0
754048000,0,0,0,0,0,0
754552000,0,0,0,0,0,0
755056000,0,0,0,0,0,0
755560000,0,0,0,0,0,0
756064000,0,0,0,0,0,0
756568000,0,0,0,0,0,0
757072000,0,0,0,0,0,0
757576000,0,0,0,0,0,0
758080000,0,0,0,0,0,0
758584000,0,0,0,0,0,0
759088000,0,0,0,0,0,0
759592000,0,0,0,0,0,0
760096000,0,0,0,0,0,0
760600000,0,0,0,0,0,0
761104000,0,0,0,0,0,0
761608000,0,0,0,0,0,0
762112000,0,0,0,0,0,0
762616000,0,0,0,0,0,0
763120000,0,0,0,0,0,0
763624000,0,0,0,0,0,0
764128000,0,0,0,0,0,0
764632000,0,0,0,0,0,0
765136000,0,0,0,0,0,0
765640000,0,0,0,0,0,0
766144000,0,0,0,0,0,0
766648000,0,0,0,0,0,0
767152000,0,0,0,0,0,0
767656000,0,0,0,0,0,0
768160000,0,0,0,0,0,0
768664000,0,0,0,0,0,0
769168000,0,0,0,0,0,0
769672000,0,0,0,0,0,0
770176000,0,0,0,0,0,0
770680000,0,0,0,0,0,0
771184000,0,0,0,0,0,0
771688000,0,0,0,0,0,0
772192000,0,0,0,0,0,0
772696000,0,0,0,0,0,0
773200000,0,0,0,0,0,0
773704000,0,0,0,0,0,0
774208000,0,0,0,0,0,0
774712000,0,0,0,0,0,0
775216000,0,0,0,0,0,0
775720000,0,0,0,0,0,0
776224000,0,0,0,0,0,0
776728000,0,0,0,0,0,0
777232000,0,0,0,0,0,0
777736000,0,0,0,0,0,0
778240000,0,0,0,0,0,0
778744000,0,0,0,0,0,0
779248000,0,0,0,0,0,0
779752000,0,0,0,0,0,0
780256000,0,0,0,0,0,0
780760000,0,0,0,0,0,0
781264000,0,0,0,0,0,0
781768000,0,0,0,0,0,0
782272000,0,0,0,0,0,0
782776000,0,0,0,0,0,0
783280000,0,0,0,0,0,0
783784000,0,0,0,0,0,0
784288000,0,0,0,0,0,0
784792000,0,0,0,0,0,0
785296000,0,0,0,0,0,0
785800000,0,0,0,0,0,0
786304000,0,0,0,0,0,0
786808000,0,0,0,0,0,0
787312000,0,0,0,0,0,0
787816000,0,0,0,0,0,0
788320000,0,0,0,0,0,0
788824000,0,0,0,0,0,0
789328000,0,0,0,0,0,0
789832000,0,0,0,0,0,0
790336000,0,0,0,0,0,0
790840000,0,0,0,0,0,0
791344000,0,0,0,0,0,0
791848000,0,0,0,0,0,0
792352000,0,0,0,0,0,0
792856000,0,0,0,0,0,0
793360000,0,0,0,0,0,0
793864000,0,0,0,0,0,0
794368000,0,0,0,0,0,0
794872000,0,0,0,0,0,0
795376000,0,0,0,0,0,0
795880000,0,0,0,0,0,0
796384000,0,0,0,0,0,0
796888000,0,0,0,0,0,0
797392000,0,0,0,0,0,0
797896000,0,0,0,0,0,0
798400000,0,0,0,0,0,0
798904000,0,0,0,0,0,0
799408000,0,0,0,0,0,0
799912000,0,0,0,0,0,0
800416000,0,0,0,0,0,0
800920000,0,0,0,0,0,0
801424000,0,0,0,0,0,0
801928000,0,0,0,0,0,0
802432000,0,0,0,0,0,0
802936000,0,0,0,0,0,0
803440000,0,0,0,0,0,0
803944000,0,0,0,0,0,0
804448000,0,0,0,0,0,0
804952000,0,0,0,0,0,0
805456000,0,0,0,0,0,0
805960000,0,0,0,0,0,0
806464000,0,0,0,0,0,0
806968000,0,0,0,0,0,0
807472000,0,0,0,0,0,0
807976000,0,0,0,0,0,0
808480000,0,0,0,0,0,0
808984000,0,0,0,0,0,0
809488000,0,0,0,0,0,0
809992000,0,0,0,0,0,0
810496000,0,0,0,0,0,0
811000000,0,0,0,0,0,0
811504000,0,0,0,0,0,0
812008000,0,0,0,0,0,0
812512000,0,0,0,0,0,0
813016000,0,0,0,0,0,0
813520000,0,0,0,0,0,0
814024000,0,0,0,0,0,0
814528000,0,0,0,0,0,0
815032000,0,0,0,0,0,0
815536000,0,0,0,0,0,0
816040000,0,0,0,0,0,0
816544000,0,0,0,0,0,0
817048000,0,0,0,0,0,0
817552000,0,0,0,0,0,0
818056000,0,0,0,0,0,0
818560000,0,0,0,0,0,0
819064000,0,0,0,0,0,0
819568000,0,0,0,0,0,0
820072000,0,0,0,0,0,0
820576000,0,0,0,0,0,0
821080000,0,0,0,0,0,0
821584000,0,0,0,0,0,0
822088000,0,0,0,0,0,0
822592000,0,0,0,0,0,0
823096000,0,0,0,0,0,0
823600000,0,0,0,0,0,0
824104000,0,0,0,0,0,0
824608000,0,0,0,0,0,0
825112000,0,0,0,0,0,0
825616000,0,0,0,0,0,0
826120000,0,0,0,0,0,0
826624000,0,0,0,0,0,0
827128000,0,0,0,0,0,0
827632000,0,0,0,0,0,0
828136000,0,0,0,0,0,0
828640000,0,0,0,0,0,0
829144000,0,0,0,0,0,0
829648000,0,0,0,0,0,0
830152000,0,0,0,0,0,0
830656000,0,0,0,0,0,0
831160000,0,0,0,0,0,0
831664000,0,0,0,0,0,0
832168000,0,0,0,0,0,0
832672000,0,0,0,0,0,0
833176000,0,0,0,0,0,0
833680000,0,0,0,0,0,0
834184000,0,0,0,0,0,0
834688000,0,0,0,0,0,0
835192000,0,0,0,0,0,0
835696000,0,0,0,0,0,0
836200000,0,0,0,0,0,0
836704000,0,0,0,0,0,0
837208000,0,0,0,0,0,0
837712000,0,0,0,0,0,0
838216000,0,0,0,0,0,0
838720000,0,0,0,0,0,0
839224000,0,0,0,0,0,0
839728000,0,0,0,0,0,0
840232000,0,0,0,0,0,0
840736000,0,0,0,0,0,0
841240000,0,0,0,0,0,0
841744000,0,0,0,0,0,0
