timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
407908000,0,0,0,1,255
410176000,0,0,0,1,255
412192000,0,0,0,1,255
414208000,0,0,0,1,255
416224000,0,0,0,1,255
418240000,0,0,0,1,255
420256000,0,0,0,1,255
422272000,0,0,0,1,255
424288000,0,0,0,1,255
426304000,0,0,0,1,255
428320000,0,0,0,1,255
430336000,0,0,0,1,255
432352000,0,0,0,1,255
434368000,0,0,0,1,255
436384000,0,0,0,1,255
438400000,0,0,0,1,255
440416000,0,0,0,1,255
442432000,0,0,0,1,255
444448000,0,0,0,1,255
446464000,0,0,0,1,255
448480000,0,0,0,1,255
450496000,0,0,0,1,255
452512000,0,0,0,1,255
454528000,0,0,0,1,255
456544000,0,0,0,1,255
458560000,0,0,0,1,255
460576000,0,0,0,1,255
462592000,0,0,0,1,255
464608000,0,0,0,1,255
466624000,0,0,0,1,255
468640000,0,0,0,1,255
470656000,0,0,0,1,255
472672000,0,0,0,1,255
474688000,0,0,0,1,255
476704000,0,0,0,1,255
478720000,0,0,0,1,255
480736000,0,0,0,1,255
482752000,0,0,0,1,255
484768000,0,0,0,1,255
486784000,0,0,0,1,255
488800000,0,0,0,1,255
490816000,0,0,0,1,255
492832000,0,0,0,1,255
494848000,0,0,0,1,255
496864000,0,0,0,1,255
498880000,0,0,0,1,255
500896000,0,0,0,1,255
502912000,0,0,0,1,255
504928000,0,0,0,1,255
506944000,0,0,0,1,255
508960000,0,0,0,1,255
510976000,0,0,0,1,255
512992000,0,0,0,1,255
515008000,0,0,0,1,255
517024000,0,0,0,1,255
519040000,0,0,0,1,255
521056000,0,0,0,1,255
523072000,0,0,0,1,255
525088000,0,0,0,1,255
527104000,0,0,0,1,255
529120000,0,0,0,1,255
531136000,0,0,0,1,255
533152000,0,0,0,1,255
535168000,0,0,0,1,255
537184000,0,0,0,1,255
539200000,0,0,0,1,255
541216000,0,0,0,1,255
543232000,0,0,0,1,255
545248000,0,0,0,1,255
547264000,0,0,0,1,255
549280000,0,0,0,1,255
551296000,0,0,0,1,255
553312000,0,0,0,1,255
555328000,0,0,0,1,255
557344000,0,0,0,1,255
559360000,0,0,0,1,255
561376000,0,0,0,1,255
563392000,0,0,0,1,255
565408000,0,0,0,1,255
567424000,0,0,0,1,255
569440000,0,0,0,1,255
571456000,0,0,0,1,255
573472000,0,0,0,1,255
575488000,0,0,0,1,255
577504000,0,0,0,1,255
579520000,0,0,0,1,255
581536000,0,0,0,1,255
583552000,0,0,0,1,255
585568000,0,0,0,1,255
587584000,0,0,0,1,255
589600000,0,0,0,1,255
591616000,0,0,0,1,255
